   , N   , Choleskio laik.      , Lygčių spr. laik.   , Didžiausio nuolydžio iteracijų skaič., Python 1-os funkcijos laik., Python 2-os funkcijos laik., Python 3-os funkcijos laik., Python 4-os funkcijos laik.
 81,  409,  89.81895446777344   , 1.5010833740234375  ,                                243144,        0.8130073547363281  ,        0.8158683776855469  ,        0.3268718719482422  ,        50.681114196777344
 82,  414,  90.81172943115234   , 1.4929771423339844  ,                                249106,        0.682830810546875   ,        0.7050037384033203  ,        0.3139972686767578  ,        53.34305763244629
 83,  419,  93.67918968200684   , 1.5141963958740234  ,                                255160,        0.8268356323242188  ,        0.8130073547363281  ,        0.3180503845214844  ,        56.0147762298584
 84,  424,  96.13490104675293   , 1.5330314636230469  ,                                261266,        0.6239414215087891  ,        0.5679130554199219  ,        0.3211498260498047  ,        57.18994140625
 85,  429,  98.65593910217285   , 1.5528202056884766  ,                                267464,        0.7569789886474609  ,        0.8320808410644531  ,        0.3292560577392578  ,        57.90066719055176
 86,  434,  99.79605674743652   , 1.5492439270019531  ,                                273716,        0.7472038269042969  ,        0.7920265197753906  ,        0.33402442932128906 ,        61.077117919921875
 87,  439, 100.39615631103516   , 1.5721321105957031  ,                                280060,        1.0161399841308594  ,        0.8730888366699219  ,        0.3757476806640625  ,        64.19134140014648
 88,  444, 103.50489616394043   , 1.6021728515625     ,                                286456,        0.7917881011962891  ,        0.7481575012207031  ,        0.34880638122558594 ,        66.01524353027344
 89,  449, 105.76891899108887   , 1.6162395477294922  ,                                292944,        0.8800029754638672  ,        0.8339881896972656  ,        0.4229545593261719  ,        68.45998764038086
 90,  454, 107.01584815979004   , 1.6231536865234375  ,                                299484,        0.9357929229736328  ,        0.8790493011474609  ,        0.37097930908203125 ,        71.06876373291016
 91,  459, 110.56017875671387   , 1.657247543334961   ,                                306118,        0.9391307830810547  ,        0.9479522705078125  ,        0.3790855407714844  ,        73.29106330871582
 92,  464, 114.58396911621094   , 1.699686050415039   ,                                312804,        0.7970333099365234  ,        0.7960796356201172  ,        0.45800209045410156 ,        74.83816146850586
 93,  469, 114.41397666931152   , 1.6739368438720703  ,                                319582,        1.0578632354736328  ,        0.988006591796875   ,        0.4012584686279297  ,        79.15592193603516
 94,  474, 117.89798736572266   , 1.6908645629882812  ,                                326412,        0.9961128234863281  ,        0.9598731994628906  ,        0.4291534423828125  ,        80.18684387207031
 95,  479, 119.69780921936035   , 3.3829212188720703  ,                                333336,        0.9770393371582031  ,        1.02996826171875    ,        0.41794776916503906 ,        82.85808563232422
 96,  484, 122.90310859680176   , 1.7628669738769531  ,                                340312,        0.9279251098632812  ,        0.9243488311767578  ,        0.42176246643066406 ,        84.49602127075195
 97,  489, 125.17666816711426   , 1.7442703247070312  ,                                347380,        1.0437965393066406  ,        1.0616779327392578  ,        0.43702125549316406 ,        87.75997161865234
 98,  494, 127.5489330291748    , 1.7688274383544922  ,                                354500,        1.1289119720458984  ,        1.0540485382080078  ,        0.45108795166015625 ,        90.57259559631348
 99,  499, 132.7230930328369    , 1.7881393432617188  ,                                361712,        1.1372566223144531  ,        1.1458396911621094  ,        0.5750656127929688  ,        93.30606460571289
100,  504, 134.11307334899902   , 1.8529891967773438  ,                                368978,        0.8869171142578125  ,        0.8120536804199219  ,        0.5650520324707031  ,        96.20380401611328
101,  509, 136.31010055541992   , 1.833200454711914   ,                                376336,        1.302957534790039   ,        1.3980865478515625  ,        0.4870891571044922  ,        98.63972663879395
102,  514, 138.83090019226074   , 1.856088638305664   ,                                383746,        2.054929733276367   ,        1.1141300201416016  ,        0.5962848663330078  ,       101.69076919555664
103,  519, 141.98899269104004   , 1.8825531005859375  ,                                391248,        1.348733901977539   ,        1.1110305786132812  ,        0.6158351898193359  ,       104.91228103637695
104,  524, 144.29831504821777   , 1.905202865600586   ,                                398804,        1.1529922485351562  ,        0.9620189666748047  ,        0.6258487701416016  ,       107.46312141418457
105,  529, 147.89509773254395   , 1.9290447235107422  ,                                406452,        1.2662410736083984  ,        1.119852066040039   ,        0.6308555603027344  ,       111.16623878479004
106,  534, 150.46405792236328   , 1.9571781158447266  ,                                414150,        1.2693405151367188  ,        1.0688304901123047  ,        0.6389617919921875  ,       114.10188674926758
107,  539, 153.50008010864258   , 2.026796340942383   ,                                421944,        1.4388561248779297  ,        1.3091564178466797  ,        0.7078647613525391  ,       118.06702613830566
108,  544, 155.33804893493652   , 2.004861831665039   ,                                429788,        1.1069774627685547  ,        0.9672641754150391  ,        0.7517337799072266  ,       119.12918090820312
109,  549, 159.5001220703125    , 2.0089149475097656  ,                                437726,        1.4319419860839844  ,        1.1830329895019531  ,        0.6861686706542969  ,       124.3441104888916
110,  554, 162.7810001373291    , 2.0537376403808594  ,                                445714,        1.4691352844238281  ,        1.19781494140625    ,        0.6930828094482422  ,       127.06208229064941
